Plot ID,Tree ID,Species Name,DBH (in),Height (ft),Crown Height (ft),Crown Width (ft),Canopy Cover (ft^2),Tree Condition,Leaf Area (ft^2),Leaf Biomass (lb),Leaf Area Index,Basal Area (ft^2),Street Tree,Native to State
1,1,Maria,1.1,8.5,3.9,4.2,13.7,EXCELLENT,8.2,0.1,0.6,0.006,YES,NO
1,2,Maria,1.0,9.5,4.6,3.9,12.0,GOOD,7.2,0.1,0.6,0.005,YES,NO
1,3,Maria,1.0,8.9,3.9,4.9,18.5,GOOD,11.1,0.2,0.6,0.005,YES,NO
4,1,Cecropia,1.4,13.1,7.2,4.9,18.9,EXCELLENT,26.4,0.4,1.4,0.010,NO,NO
4,2,Fig spp,1.4,18.0,17.7,13.8,149.1,EXCELLENT,330.1,5.3,2.2,0.010,NO,NO
5,1,Manila,15.7,25.3,17.4,5.2,21.6,EXCELLENT,92.2,3.2,4.3,1.353,NO,NO
5,2,Manila,17.3,31.2,24.0,5.2,21.6,EXCELLENT,159.4,5.5,7.4,1.637,NO,NO
5,3,Manila,17.9,30.2,18.4,6.6,33.8,EXCELLENT,128.2,4.4,3.8,1.751,NO,NO
5,4,Butterfly Palm spp,5.9,15.1,8.9,5.9,27.4,EXCELLENT,31.9,1.1,1.2,0.190,NO,NO
5,5,Manila,18.9,27.2,19.0,6.6,33.8,EXCELLENT,137.2,4.7,4.1,1.948,NO,NO
5,6,Butterfly Palm spp,1.2,5.8,3.5,3.3,8.5,EXCELLENT,7.6,0.3,0.9,0.008,NO,NO
5,7,Butterfly Palm spp,1.1,4.9,3.0,3.0,6.8,EXCELLENT,6.0,0.2,0.9,0.007,NO,NO
5,8,Butterfly Palm spp,1.3,5.4,3.4,4.3,14.3,EXCELLENT,9.6,0.3,0.7,0.009,NO,NO
5,9,Butterfly Palm spp,7.9,27.2,19.7,11.2,97.7,EXCELLENT,184.4,6.3,1.9,0.338,NO,NO
5,10,Spanish lime,36.2,46.3,13.1,28.1,618.0,EXCELLENT,"2,707.6",44.8,4.4,7.158,NO,NO
5,11,Mango,43.3,53.5,19.7,21.2,351.7,EXCELLENT,"1,277.5",25.5,3.6,10.233,NO,NO
9,1,Coconut palm,9.7,28.2,18.3,23.5,432.2,GOOD,497.2,17.1,1.2,0.512,NO,NO
9,2,French plantain,4.6,11.5,8.1,9.0,63.9,EXCELLENT,57.3,2.0,0.9,0.116,NO,NO
9,3,French plantain,4.3,7.5,6.1,8.2,52.8,GOOD,41.8,1.4,0.8,0.099,NO,NO
9,4,French plantain,4.6,10.2,9.8,7.9,49.1,FAIR,50.4,1.7,1.0,0.114,NO,NO
9,5,French plantain,4.2,7.2,3.7,7.9,49.1,DYING,8.4,0.3,0.2,0.097,NO,NO
9,6,French plantain,2.9,4.9,3.3,5.6,24.4,EXCELLENT,18.4,0.6,0.8,0.046,NO,NO
9,7,French plantain,2.9,5.6,5.2,4.4,15.4,EXCELLENT,17.1,0.6,1.1,0.045,NO,NO
9,8,French plantain,3.1,8.2,5.9,6.1,28.9,EXCELLENT,23.7,0.8,0.8,0.053,NO,NO
9,9,French plantain,2.0,4.3,2.0,4.6,16.6,EXCELLENT,8.9,0.3,0.5,0.021,NO,NO
9,10,Avocado,1.6,11.5,6.6,7.4,42.8,EXCELLENT,30.7,0.4,0.7,0.014,NO,NO
9,11,Soursop,4.1,13.1,8.2,12.5,122.1,EXCELLENT,160.7,5.5,1.3,0.090,NO,NO
9,12,Shaddock,1.8,12.8,12.3,7.1,39.6,GOOD,49.9,1.4,1.3,0.017,NO,NO
11,1,Peepul tree,37.4,76.1,70.5,65.2,"3,342.8",GOOD,"15,001.0",240.6,4.5,7.632,YES,NO
11,2,Pink Poui,40.2,67.6,50.2,22.9,411.3,FAIR,"4,652.4",58.0,11.3,8.798,YES,NO
11,3,Mango,96.5,43.3,15.1,40.9,"1,313.5",GOOD,"8,399.7",168.0,6.4,50.761,YES,NO
11,4,Wild crapemyrtle,23.6,23.0,18.0,9.2,66.3,FAIR,297.5,4.6,4.5,3.044,YES,NO
11,5,Tahitian gooseberry tree,22.8,16.4,2.3,5.5,23.4,GOOD,53.8,2.0,2.3,2.845,YES,NO
12,1,Breadfruit,11.8,35.1,25.9,20.3,325.0,EXCELLENT,"2,119.4",34.0,6.5,0.756,NO,NO
12,2,White lead tree,1.0,14.4,10.8,13.0,131.9,EXCELLENT,111.3,2.0,0.8,0.006,NO,NO
12,3,Cecropia,0.6,2.9,0.1,3.1,7.6,EXCELLENT,7.0,0.1,0.9,0.002,NO,NO
12,4,Puerto rico royal palm,2.4,5.9,3.6,5.4,23.0,GOOD,12.1,0.4,0.5,0.030,NO,NO
12,5,Oleander,1.6,7.1,6.7,6.7,35.5,EXCELLENT,42.6,1.3,1.2,0.014,YES,NO
12,6,Puerto rico royal palm,3.0,9.2,3.6,9.1,65.6,FAIR,32.5,1.1,0.5,0.050,YES,NO
12,7,Mango,2.0,15.4,8.2,7.5,44.7,EXCELLENT,63.2,1.3,1.4,0.021,YES,NO
12,8,Oleander,2.7,14.4,10.1,4.5,16.1,CRITICAL,22.0,0.7,1.4,0.040,YES,NO
13,1,Calabash tree,4.7,18.4,18.0,21.2,351.7,EXCELLENT,587.0,7.3,1.7,0.122,YES,NO
13,2,Sago palm,10.2,4.1,3.8,8.7,59.4,EXCELLENT,45.4,0.7,0.8,0.563,YES,NO
13,3,Foxtail palm,8.3,26.9,18.0,16.6,215.6,EXCELLENT,137.2,4.7,0.6,0.376,YES,NO
13,4,Sago palm,9.4,4.8,4.4,6.9,37.3,EXCELLENT,56.2,0.9,1.5,0.487,NO,NO
13,5,Mango,16.1,28.9,24.3,33.8,896.9,GOOD,"3,384.0",67.7,3.8,1.422,NO,NO
14,1,Black olive,12.2,40.4,34.4,41.7,"1,363.5",GOOD,"1,937.1",51.4,1.4,0.813,YES,NO
14,2,Black olive,20.8,57.1,49.9,43.8,"1,503.3",GOOD,"6,357.6",168.6,4.2,2.355,NO,NO
15,1,Common fig,4.7,19.7,3.3,10.7,89.3,EXCELLENT,115.2,1.8,1.3,0.122,NO,NO
16,1,Pink Poui,3.9,7.0,0.7,3.2,8.0,GOOD,7.5,0.1,0.9,0.085,NO,NO
17,1,Pink Poui,12.8,63.3,25.3,23.1,419.6,GOOD,"1,432.7",17.9,3.4,0.890,YES,NO
17,2,Cecropia,2.1,14.8,4.6,6.1,28.9,EXCELLENT,31.2,0.4,1.1,0.025,YES,NO
17,3,Cecropia,1.2,8.9,6.5,3.8,11.2,EXCELLENT,23.7,0.3,2.1,0.008,YES,NO
20,1,Schefflera,4.9,26.2,13.1,15.9,198.9,GOOD,437.3,6.8,2.2,0.132,YES,NO
21,1,Black olive,8.4,32.2,24.9,30.0,708.6,GOOD,"2,145.7",56.9,3.0,0.387,NO,NO
22,1,African tulip tree,2.2,15.1,6.2,3.9,12.2,EXCELLENT,20.2,0.3,1.7,0.027,NO,NO
24,2,Birdcherry,2.1,5.0,4.0,2.0,3.0,EXCELLENT,4.9,0.1,1.6,0.024,NO,NO
24,4,Birdcherry,1.0,5.5,3.2,2.3,4.1,EXCELLENT,3.3,0.1,0.8,0.005,NO,NO
24,6,Birdcherry,1.3,6.5,4.6,2.6,5.4,EXCELLENT,7.0,0.2,1.3,0.010,NO,NO
24,7,Caribbean trumpet-tree,1.9,7.9,2.0,5.2,21.6,GOOD,7.3,0.1,0.3,0.020,NO,NO
25,1,Manila,7.1,11.5,5.6,4.3,14.8,GOOD,13.5,0.5,0.9,0.274,NO,NO
25,2,Mango,48.4,31.8,9.8,23.1,420.2,GOOD,"1,567.7",31.3,3.7,12.794,NO,NO
25,3,Fig spp,7.9,13.1,1.0,3.1,7.6,GOOD,7.7,0.1,1.0,0.338,NO,NO
26,1,Haitian catalpa,5.6,16.7,5.6,12.1,115.7,FAIR,203.6,2.5,1.8,0.173,NO,NO
26,2,Fig spp,5.8,15.4,4.3,14.3,160.0,CRITICAL,94.0,1.5,0.6,0.184,NO,NO
26,3,Black olive,1.1,37.4,21.0,18.7,274.7,CRITICAL,220.9,5.9,0.8,0.007,NO,NO
26,4,Black olive,11.1,46.3,31.5,28.2,625.3,FAIR,"2,063.4",54.7,3.3,0.668,YES,NO
26,5,Haitian catalpa,6.2,22.0,19.4,10.8,92.1,CRITICAL,65.3,0.8,0.7,0.210,YES,NO
109,1,Shaddock,3.5,12.1,10.2,8.5,56.9,GOOD,105.1,2.9,1.8,0.065,NO,NO
109,2,Puerto rico royal palm,11.5,53.5,15.7,17.9,252.9,GOOD,458.2,15.7,1.8,0.726,NO,NO
109,3,Black olive,6.5,30.2,25.6,22.3,390.9,GOOD,"1,094.9",29.0,2.8,0.233,NO,NO
109,4,Singapore graveyard flower,3.0,9.8,3.6,2.6,5.4,EXCELLENT,6.8,0.2,1.3,0.048,NO,NO
109,5,Manila,2.4,7.5,5.2,6.9,37.3,EXCELLENT,17.8,0.6,0.5,0.030,NO,NO
109,7,Manila,6.0,11.8,3.9,10.0,78.6,EXCELLENT,39.1,1.3,0.5,0.195,YES,NO
109,8,Manila,5.1,14.8,8.9,7.9,48.7,EXCELLENT,53.9,1.9,1.1,0.143,YES,NO
109,9,Guasuiririba,3.5,13.1,12.5,9.5,70.9,GOOD,61.7,1.9,0.9,0.065,YES,NO
109,10,Manila,5.5,9.2,3.6,7.2,40.9,EXCELLENT,31.3,1.1,0.8,0.166,YES,NO
109,11,White lead tree,20.2,38.7,24.9,27.2,582.4,GOOD,"2,973.2",52.6,5.1,2.217,YES,NO
109,12,Shaddock,2.8,13.5,5.9,8.7,60.0,GOOD,64.1,1.8,1.1,0.041,NO,NO

